prompt,response
USAC, Universidad de San Carlos de Guatemala.
¿Qué es la USAC?,  Es la Universidad de San Carlos de Guatemala.
¿A qué se dedica la Facultad de Ingeniería de la Universidad de San Carlos de Guatemala? , La Facultad de Ingeniería se dedica a la formación de profesionales de prestigio; cuyos conocimientos contribuyen al progreso científico y tecnológico de Guatemala. En esta unidad académica se desempeñan seis escuelas facultativas de pregrado que disponen de doce carreras; una escuela de posgrado con carácter regional centroamericano; además del Centro de Investigaciones de Ingeniería (CII); de manera que su proyección es amplia hacia diversas actividades económicas y sociales del país.
ORGANIZACIÓN, La Facultad de Ingeniería está organizada en: a. Escuelas facultativas; b. centros; c. departamentos; d. unidades académico-administrativas.
MISIÓN, Formar profesionales en las distintas áreas de la Ingeniería que; a través de la aplicación de la ciencia y la tecnología; conscientes de la realidad nacional y regional; y comprometidos con nuestras sociedades; sean capaces de generar soluciones que se adapten a los desafíos del desarrollo sostenible y los retos del contexto global.
VISIÓN, Ser una institución académica con incidencia en la solución de la problemática nacional; formamos profesionales en las distintas áreas de la ingeniería; con sólidos conceptos científicos; tecnológicos; éticos y sociales; fundamentados en la investigación y promoción de procesos innovadores orientados hacia la excelencia profesional.
OBJETIVO GENERAL, Formar el recurso humano dentro del área técnico-científica que necesita el desarrollo de Guatemala; dentro del ambiente físico; natural; social; económico; antropológico y cultural del medio que lo rodea; para que pueda servir al país en forma eficiente y eficaz como profesional de la ingeniería.
¿Dónde se encuentra la USAC?, En Guatemala
¿Dónde se encuentra la sede central de la USAC?, En la zona 12 de la ciudad de Guatemala
FIUSAC, Facultad de ingeniería Universidad san carlos de guatemala
Pasos para ingresar a la Universidad de San Carlos de Guatemala, Paso 1: Prueba de Orientación Vocacional. Paso 2: Pruebas de Conocimientos Básicos. Paso 3: Pruebas Específicas. Paso 4: Preinscripción e Inscripción
¿En qué consiste el paso de la prueba de orientación vocacional?, Aplicación de la Prueba de Orientación Vocacional en modalidad virtual. Al recibir el perfil de resultados oficial de la Prueba Inventario de Intereses de Estudio que contiene el Número de Orientación Vocacional -NOV- continuar con el Paso 2.
¿En qué consiste el paso de la prueba de conocimientos básicos?, Información y asignación en el Sistema de Ubicación y Nivelación –SUN- por medio de la página https://sun.usac.edu.gt/
¿En qué consiste el paso de las Pruebas Específicas?, Después de aprobar las Pruebas de Conocimientos Básicos y obtener su constancia con resultado Satisfactorio el aspirante debe establecer contacto a través de las páginas oficiales de la Facultad Escuela y/o Centro Universitario en donde desea estudiar.
¿En qué consiste el paso de la Preinscripción e Inscripción?, El aspirante debe ingresar a https://registro.usac.edu.gt para conocer el proceso requisitos y calendario de inscripción.
¿Es obligatorio hacer todos los pasos ?, Todos los pasos anteriores son obligatorios para el proceso de ingreso a la Universidad de San Carlos de Guatemala.
ESTRATEGIAS ACADÉMICAS,1) Estructurar una programación adecuada que cubra el conocimiento teórico y la aplicación de las disciplinas básicas de la ingeniería. 2)Utilizar métodos de enseñanza-aprendizaje que estén en consonancia con el avance acelerado de la ciencia y la tecnología. 3)Proporcionar al estudiantado la experiencia práctica de las situaciones problemáticas que encontrará en el ejercicio de su profesión. Capacitar a los profesionales para su autoeducación luego de que egresen de las aulas.
objetivos específicos,1) Proporcionar; al estudiantado de la Facultad de Ingeniería las oportunidades para obtener una formación técnico-científica; para su aplicación al medio laboral y adaptación a la tecnología moderna. 2) Fomentar la investigación científica y el desarrollo de la tecnología y ciencias entre los estudiantes y catedráticos de la Facultad de Ingeniería; con proyección y como resarcimiento para el pueblo de Guatemala. 3) Fortalecer las relaciones con los sectores externos del país; que se vinculan con las diversas ramas de la ingeniería y contribuir a satisfacer sus necesidades; lo cual generará el beneficio mutuo.
Pasos para asignarse y realizar la Prueba de Orientación Vocacional,Paso 1: Generación de orden de pago.  Paso 2: Proceso de Asignación. Paso 3: Aplicación de la Prueba Inventario de Intereses de Estudio -IIE- en línea (Fase I). Paso 4: Entrega. análisis e interpretación de resultados de la Prueba Inventario de Intereses de Estudio -IIE- (Fase II). 
Información detallada del proceso de pruebas de orientación vocacional, https://vocacional.usac.edu.gt/pasos
Costo del examen vocacional, El valor de la orden de pago es Q70.00
Precio del examen vocacional, El valor de la orden de pago es Q70.00
Vigencia de la orden de pago, la vigencia es de 7 días
Bancos donde se puede pagar la boleta u orden de pago, en cualquiera de las agencias de BANRURAL; GYT o BANTRAB (Nota: REALIZAR EL PAGO ÚNICAMENTE EN AGENCIA BANCARIA.)
VIgencia de boleta pagada, la vigencia es de únicamente el año en el que es generada
Pagina del Sistema de ubicación y nivelación (SUN),https://sun.usac.edu.gt/
Calendario de pruebas de conocimientos básicos USAC, https://sun.usac.edu.gt/index.php/pruebas/#ancla9
¿Cuales son las pruebas básicas para la facultad de ingeniería?, Lenguaje y física
Pruebas por unidad academica,https://sun.usac.edu.gt/index.php/pruebas/#ancla8
Pruebas específicas facultad de ingeniería, Para la facultad de ingeniería es matemática para ingeniería y conocimientos de computación
Tema de estudio para la prueba de computación oara la facutldad de ingeniería,  https://primeringreso.ingenieria.usac.edu.gt/ayuda/computacion
Tema de estudio para la prueba de matemática de ingeniería,https://primeringreso.ingenieria.usac.edu.gt/ayuda/matematica
Contenido de la prueba de matemática de ingeniería, 1)Números reales; 2)Conceptos fundamentales del álgebra; 3)Ecuaciones e inecuaciones; 4)Funciones y gráficas; 5)Geometría Analítica; 6)Geometría; 7)Trigonometría
Contenido del examen de matemática de ingeniería, 1)Números reales; 2)Conceptos fundamentales del álgebra; 3)Ecuaciones e inecuaciones; 4)Funciones y gráficas; 5)Geometría Analítica; 6)Geometría; 7)Trigonometría
Bibliografía recomendada para la prueba de matematica de ingeniería, Aritmética y Algebra CONAMAT Colegio Nacional de Matemáticas. Cuarta Edición. PEARSON.;  Precálculo Matemáticas para el Cálculo. Séptima Edición James Stewart. ;  Página departamento de matemática Facultad de Ingeniería: Libro de "Geometría de Precálculo" autor Miguel Castillo (Geometría).
Guía de estudio para la prueba de matemática de ingeniería, Enlace de la guía de matemáticas para la facultad de ingeniería https://primeringreso.ingenieria.usac.edu.gt/ayuda/guia
Documentos para las pruebas específicas, MAYOR DE EDAD puede presentar alguno de los siguientes documentos: 1) DPI en buenestado; 2) Licencia de conducor; 3)Pasaporte + licencia de conducir u otro documento de idenitifación con fotografía impresa;  SI es MENOR de edad debe presentar certificado de nacimiento más Carnet del colegio impreso en PVC o Pasaporte con fotografía reciente o Licencia de Conducir
¿Donde puedo asignarme la pruebas específicas de ingeniería?, https://primeringreso.ingenieria.usac.edu.gt/especificas/asignacion
¿Donde puedo ver el resultado de las pruebas específicas?, https://primeringreso.ingenieria.usac.edu.gt/especificas/resultados/
Pruebas especificas para la facultad de ingenieria, Matemáticas para ingeniería y computación
Eamenes especificos para la facultad de ingenieria, Matemáticas para ingeniería y computación
Pruebas para la facultad de ingenieria, Básicos: Lenguaje y Física; específicos: Matemáticas para ingeniería y computación
éxamenes para la facultad de ingenieria, Básicos: Lenguaje y Física; específicos: Matemáticas para ingeniería y computación
Siguiente paso despues de haber aprobado la prueba para ingeniería, Si obtuvo resultado SATISFACTORIO en las Pruebas Específicas de: Matemática y Computación para Ingeniería Debe asignarse en Línea; más información en el siguiente enlace: https://primeringreso.ingenieria.usac.edu.gt/seccion/asignacionSeccion
¿Que hacer despues de aprobadas las pruebas para ingeniería?, inscribirse en el siguiente enlace https://primeringreso.ingenieria.usac.edu.gt/seccion/asignacionSeccion
